Armenian_Aintab_(n=3),0.100923,0.142851,-0.056065,-0.065677,-0.028005,-0.020731,0.003682,-0.004538,-0.023452,-0.00079,0.003085,0.003047,-0.000347,0.001606,-0.006786,-0.001503,0.010779,0.000591,0.000126,-0.00421,0.000832,-8.2e-05,0.00115,-0.001848,-0.000838
Armenian_Alashkert_(n=4),0.104433,0.140143,-0.057605,-0.063227,-0.02462,-0.016664,0.002879,-0.005942,-0.024901,0,0.001868,0.000862,-0.002713,0.001892,-0.002884,0.000464,-0.001206,0.003072,0.002734,-0.003689,-0.000967,0.000896,0.000247,-0.001175,0.002874
Armenian_Ararat_(n=17),0.103043,0.13632,-0.059385,-0.061959,-0.026883,-0.017341,0.004285,-0.00452,-0.028176,-0.00343,0.003047,0.003332,-0.002702,0.00251,-0.005525,-0.001794,0.00092,0.001319,0.003949,-0.004451,0.000235,0.004044,-0.001261,-0.000269,0.001212
Armenian_Artsakh_(n=16),0.104717,0.134938,-0.05579,-0.052387,-0.031044,-0.011609,0.004421,-0.005783,-0.03289,-0.006731,0.003187,0.001864,-0.002722,0.001497,-0.00296,0.001732,0.002062,0.000404,0.001328,-0.002329,0.001825,0.001638,0.000216,-0.001965,0.002275
Armenian_Bayazet_(n=4),0.101303,0.136589,-0.062225,-0.058786,-0.029852,-0.015269,0.003114,-0.005711,-0.025412,-0.002506,0.001705,-0.000824,-0.000558,-0.000379,-0.000916,0.005469,-0.003096,0.000919,0.002042,-0.001751,0.001841,0.002442,-0.002527,0.003946,0.002095
Armenian_Central_Iran_(n=4),0.105002,0.137096,-0.059962,-0.055798,-0.032006,-0.007809,0.004406,-0.003289,-0.032468,-0.007699,0.002111,0.001312,-0.007396,0.00234,-0.00302,-0.005768,0.001336,-0.002914,0.001445,-0.003846,0.003244,0.001206,0.000247,-0.000331,0.001946
Armenian_Diyarbekir_(n=3),0.099785,0.137435,-0.059082,-0.067292,-0.028005,-0.019337,0.006345,-0.005923,-0.025906,-0.001762,0.004926,-0.000749,0.001883,0.00312,-0.005384,0.004994,0.006736,0.001689,0.000251,-0.000208,0.000457,-0.000783,0.002218,-0.000723,-0.002834
Armenian_Erzurum_(n=9),0.104338,0.134952,-0.059669,-0.059719,-0.02951,-0.016857,0.004543,-0.006974,-0.032178,-0.006358,0.003374,0.004829,-0.004807,0.00341,-0.00285,-0.00165,0.005491,-0.000282,0.00081,-0.000903,0.003383,0.0018,-0.002561,-6.7e-05,0.000798
Armenian_Gardman_(n=3),0.105097,0.129988,-0.053677,-0.052757,-0.03375,-0.013387,0.005797,-0.008153,-0.039882,-0.010691,0.004872,0.002548,-0.006244,0.002064,-0.003302,-0.006232,-0.004954,0.003041,0.002221,-0.005628,0.001789,0.00305,0.001068,-0.001526,0.001716
Armenian_Gesaria_(n=4),0.106709,0.135065,-0.052797,-0.060159,-0.025928,-0.01513,0.004524,-0.004731,-0.027918,-0.001868,0.00406,0.002286,-0.003568,0.002581,-0.005021,-0.00421,-3.2e-05,0.000348,0.001791,-0.004314,0.000998,0.005286,-0.002465,-0.001597,0.001287
